STID	1720	1000	1060	1560	1110	1260	1290	1320	1460	1130	1520	1550	1650	1490	1570	1640	1310	1100	1480	1430	1021
Data & Ora	Valtournenche - Maen	Arvier - Chamençon	Roisan - Moulin	Brusson - Extrapieraz	Champorcher - Chardonney	Gressoney-L.T. - Courtlys	Gressoney-S.J. - Capoluogo	Issime - Capoluogo	Pont-St-Martin - Circonvallazione	Cogne - Cretaz	Rhêmes-Notre-Dame - Chanavey	Rhêmes-S.G. - Capoluogo	Valsavarenche - Eaux-Rousses	Pré-St-Didier - Capoluogo	St-Oyen - Moulin	Valpelline - Prelé	Hône	Champdepraz	Pontey	Nus - Les Iles	Aymavilles
11/3/13 20.00	0.16	0.07	0.12	0.14	0.13		0.32	0.28	0.41	0.16	0.16	0.02	0	0.06	0.05	0.26	0.36	-0.02	0.52	0.07	0.95
11/3/13 21.00	0.09	0.07	0.11	0.13	0.13		0.23	0.28	0.43	0.16	0.16	0.04	0	0.07	0.06	0.26	0.38	-0.06	0.51	0.08	0.94
11/3/13 22.00	0.04	0.08	0.11	0.13	0.13		0.22	0.27	0.4	0.16	0.16	0	0	0.07	0.06	0.25	0.38	-0.02	0.5	0.08	0.92
11/3/13 23.00	0.04	0.08	0.11	0.13	0.12		0.21	0.27	0.4	0.16	0.16	0.01	0	0.07	0.05	0.25	0.34	-0.02	0.52	0.09	0.9
12/3/13 0.00	0.04	0.08	0.12	0.14	0.13		0.21	0.27	0.4	0.16	0.16	0.01	0.01	0.07	0.06	0.26	0.32	0	0.54	0.09	0.9
12/3/13 1.00	0.04	0.08	0.11	0.13	0.12		0.21	0.27	0.42	0.16	0.16	0.01	0	0.07	0.06	0.25	0.31	0	0.58	0.07	0.89
12/3/13 2.00	0.04	0.08	0.12	0.13	0.12		0.22	0.27	0.41	0.16	0.16	0.01	0	0.07	0.05	0.25	0.29	0	0.57	0.08	0.9
12/3/13 3.00	0.05	0.08	0.12	0.13	0.12		0.21	0.27	0.4	0.16	0.16	0.01	0	0.07	0.06	0.25	0.3	0	0.52	0.07	0.9
12/3/13 4.00	0.04	0.07	0.12	0.13	0.12		0.21	0.28	0.4	0.15	0.16	0.01	-0.01	0.07	0.05	0.26	0.3	-0.01	0.52	0.07	0.89
12/3/13 5.00	0.04	0.07	0.11	0.14	0.12		0.22	0.26	0.41	0.16	0.16	0	0	0.06	0.05	0.25	0.3	0	0.52	0.08	0.89
12/3/13 6.00	0.04	0.07	0.11	0.14	0.12		0.22	0.27	0.41	0.16	0.16	0.03	-0.01	0.07	0.05	0.25	0.3	0	0.52	0.09	0.89
12/3/13 7.00	0.14	0.09	0.11	0.14	0.12		0.22	0.27	0.4	0.14	0.16	0.01	0	0.07	0.05	0.26	0.31	0	0.5	0.09	0.89
12/3/13 8.00	0.23	0.07	0.12	0.14	0.11		0.21	0.26	0.4	0.14	0.16	0	0	0.07	0.05	0.26	0.31	0.01	0.51	0.08	0.89
12/3/13 9.00	0.23	0.05	0.12	0.12	0.09		0.28	0.27	0.4	0.15	0.16	0	0	0.08	0.05	0.25	0.32	0	0.57	0.08	0.89
12/3/13 10.00	0.16	0.08	0.11	0.12	0.09		0.31	0.26	0.4	0.14	0.16	0	0	0.08	0.05	0.25	0.34	0.01	0.62	0.07	0.94
12/3/13 11.00	0.05	0.06	0.11	0.11	0.09		0.21	0.26	0.38	0.14	0.16	0	0	0.07	0.06	0.25	0.35	0	0.59	0.07	0.94
